Age,StudyHours,GamingHours,SleepHours,SocialActivity,AcademicPerformance,GamingSkill,PassFail
20,27.9,1.4,7.1,4,108.5,35.3,Pass
21,31.9,3.3,5.7,1,102.3,50.0,Pass
21,18.4,11.7,6.2,4,91.8,66.6,Pass
21,33.7,3.7,5.9,2,111.7,42.8,Pass
21,30.8,28.7,5.8,6,90.3,95.8,Not participated
19,2.6,23.9,7.6,9,52.4,102.8,Not participated
21,1.8,7.8,6.0,4,64.5,73.2,Fail
20,24.8,17.7,7.5,7,83.7,80.6,Pass
19,13.9,29.5,5.2,0,64.9,102.3,Not participated
20,8.4,26.5,5.6,2,53.3,96.2,Not participated
20,23.2,18.0,6.1,2,88.6,81.1,Pass
20,13.7,27.1,7.4,8,56.5,111.7,Not participated
21,21.5,29.7,7.7,4,74.8,102.4,Not participated
21,18.4,22.3,6.8,8,74.1,101.3,Not participated
19,23.4,1.9,6.8,8,94.1,51.2,Pass
19,16.0,12.0,7.9,0,81.8,69.9,Pass
21,27.9,25.1,5.1,1,89.7,79.3,Not participated
20,7.2,6.9,6.4,4,64.6,66.8,Fail
19,27.9,24.9,8.3,3,93.3,88.1,Pass
21,16.5,3.6,7.4,9,81.0,60.5,Not participated
21,35.0,1.4,6.3,8,124.5,45.5,Not participated
21,20.6,11.5,8.6,6,92.8,70.5,Pass
20,38.9,1.1,8.1,5,132.3,41.8,Pass
21,24.1,28.7,6.1,6,78.8,99.7,Not participated
21,9.0,24.8,7.6,0,60.8,97.9,Fail
21,32.9,24.0,7.4,0,98.9,87.7,Pass
21,13.8,18.9,6.6,7,68.1,82.2,Fail
19,13.9,6.5,6.5,1,70.6,53.3,Fail
19,1.3,15.5,6.4,9,54.6,87.5,Not participated
21,21.9,17.9,7.5,8,79.8,79.0,Not participated
20,21.4,15.8,6.8,6,77.6,75.7,Pass
19,14.2,7.8,8.3,5,84.8,69.7,Pass
21,35.8,15.5,7.7,0,105.3,70.3,Pass
19,5.1,14.7,5.3,0,61.6,77.4,Fail
19,13.2,29.9,7.6,1,57.1,102.8,Not participated
20,12.9,26.9,6.1,5,57.7,107.4,Not participated
21,3.7,13.9,7.4,5,65.0,70.1,Fail
21,19.2,18.7,7.7,1,80.6,73.7,Pass
20,27.5,22.4,5.9,0,77.7,69.4,Pass
20,20.5,1.0,6.8,9,94.8,47.2,Not participated
21,6.3,26.8,5.8,4,57.0,101.4,Not participated
21,15.1,25.8,5.2,4,60.0,106.2,Not participated
20,0.1,13.7,6.5,1,55.2,64.7,Fail
19,34.7,11.7,6.5,5,101.4,60.0,Pass
19,3.4,8.2,9.0,8,65.9,77.4,Not participated
20,23.9,14.3,6.8,1,93.5,69.9,Pass
19,39.5,1.3,6.3,9,121.9,51.0,Pass
20,21.5,25.6,7.3,1,82.8,92.5,Pass
19,37.0,1.1,5.4,2,117.5,38.0,Pass
19,9.4,9.9,8.8,6,84.9,63.1,Pass
21,30.4,27.9,7.5,5,80.5,91.7,Not participated
21,21.3,22.1,8.0,7,79.2,83.0,Pass
19,28.8,8.4,5.7,7,92.5,63.7,Pass
19,2.5,7.6,6.6,5,55.8,71.7,Fail
21,5.9,0.2,6.7,9,67.1,59.8,Not participated
21,5.3,20.9,8.3,2,58.7,87.1,Fail
21,27.5,1.5,5.0,2,101.2,36.8,Pass
20,33.8,16.0,6.2,0,102.4,66.1,Pass
19,30.0,28.9,8.9,6,84.1,96.7,Not participated
21,1.2,3.3,6.9,4,61.3,55.7,Fail
19,34.7,26.8,6.5,3,88.8,87.3,Not participated
20,14.2,29.7,5.5,9,63.2,109.8,Not participated
20,15.9,1.8,8.9,3,85.9,44.9,Pass
21,4.2,26.5,5.1,3,44.2,98.4,Not participated
20,29.5,15.5,7.9,5,100.5,74.5,Pass
19,7.3,27.2,8.1,7,52.3,116.9,Not participated
21,22.6,17.1,6.0,7,85.7,81.1,Pass
19,33.6,19.9,7.7,4,107.9,78.9,Pass
19,3.6,16.3,5.4,5,54.1,89.5,Fail
20,21.4,25.9,6.0,3,77.9,96.5,Not participated
20,9.3,22.0,8.2,8,52.4,94.7,Not participated
20,13.7,15.6,8.5,7,72.9,91.3,Pass
20,19.0,26.0,7.4,9,73.4,99.5,Not participated
20,14.2,7.4,7.0,9,74.1,71.7,Not participated
21,26.0,4.7,5.6,0,97.5,49.1,Pass
19,19.2,4.8,5.3,1,90.9,41.4,Pass
19,23.4,10.0,5.5,8,78.7,66.1,Not participated
19,29.5,7.2,5.9,7,94.3,58.3,Pass
19,22.3,27.9,6.4,2,74.9,97.7,Not participated
20,23.5,3.2,6.5,7,98.0,54.6,Pass
19,22.6,21.0,6.4,0,83.6,84.5,Pass
21,15.2,5.7,6.0,9,80.8,64.6,Not participated
21,13.5,26.4,7.0,3,65.4,101.4,Not participated
19,36.0,28.8,8.3,2,102.1,91.8,Not participated
19,24.3,14.0,6.1,5,85.4,66.8,Pass
21,9.8,26.4,8.8,6,58.1,105.3,Not participated
21,19.9,0.2,8.5,3,95.8,47.8,Pass
20,13.2,24.6,5.6,6,62.3,105.3,Not participated
21,37.3,6.9,8.1,8,113.3,57.4,Not participated
20,0.3,27.3,7.3,1,41.2,112.3,Not participated
20,9.0,0.0,7.3,2,80.1,50.0,Pass
20,14.6,16.7,6.6,4,72.5,85.2,Pass
20,19.5,22.7,7.0,2,74.2,92.7,Pass
20,34.0,7.8,6.6,7,99.3,55.9,Not participated
19,3.5,5.8,7.2,9,65.0,74.3,Not participated
21,32.2,2.5,7.5,7,106.4,42.6,Pass
20,2.2,9.8,7.7,7,65.8,78.6,Fail
21,33.7,16.8,7.1,8,99.8,79.2,Not participated
21,2.1,3.5,7.9,3,61.2,64.8,Fail
20,0.7,11.3,5.6,4,52.9,81.2,Fail
19,27.9,0.3,5.8,4,109.6,46.8,Pass
20,39.9,24.6,8.3,7,109.9,87.2,Not participated
19,35.9,3.9,6.3,6,114.4,45.3,Pass
21,23.0,8.5,5.1,8,81.3,63.7,Pass
19,36.7,0.6,5.6,7,123.9,42.6,Pass
19,0.2,13.0,5.9,1,48.6,68.1,Fail
19,39.0,25.2,8.8,9,110.6,98.4,Not participated
21,19.6,11.8,7.3,3,82.9,67.6,Pass
21,28.9,5.4,8.7,5,110.6,50.3,Pass
19,32.8,22.6,7.3,1,102.3,67.4,Pass
19,28.7,23.7,6.9,6,91.1,90.1,Pass
20,21.4,5.2,6.3,2,94.3,51.1,Pass
19,19.1,23.1,7.4,2,74.5,84.6,Not participated
20,33.5,28.4,5.6,1,86.6,87.9,Not participated
19,8.2,5.0,8.6,7,76.2,64.2,Not participated
20,38.7,23.1,8.3,5,104.5,79.9,Pass
21,28.4,21.3,6.3,0,100.5,81.3,Pass
19,8.0,14.2,8.8,0,63.3,70.7,Fail
19,29.4,1.7,8.3,6,114.4,46.7,Pass
19,21.2,2.2,7.7,7,98.0,58.1,Pass
19,28.3,25.6,5.5,4,84.1,91.7,Not participated
20,30.7,29.7,6.9,4,93.5,100.6,Not participated
19,3.5,20.3,7.0,3,54.5,93.9,Fail
21,20.2,13.4,5.9,5,78.2,72.7,Pass
21,37.3,19.4,5.3,5,102.5,75.8,Pass
19,12.8,17.8,8.1,2,70.2,78.7,Pass
21,23.8,11.5,5.5,8,90.0,71.5,Pass
19,14.8,2.0,7.4,6,89.5,52.4,Pass
19,18.2,24.6,8.7,0,70.7,97.8,Fail
21,21.9,11.2,8.5,6,96.9,72.7,Pass
19,22.0,24.6,6.1,4,74.2,85.7,Not participated
21,8.1,7.6,8.4,4,75.1,59.0,Pass
20,27.4,0.0,5.0,1,104.2,36.8,Pass
19,3.5,4.8,5.1,3,63.4,59.5,Fail
20,5.6,14.1,7.4,5,61.4,80.5,Fail
21,0.1,28.3,6.5,9,38.1,120.6,Not participated
20,4.7,3.1,6.5,6,66.2,62.6,Fail
20,18.9,25.6,7.3,4,80.3,98.1,Pass
21,24.2,15.8,5.8,8,80.9,86.3,Pass
20,31.8,24.8,5.8,2,85.9,79.2,Not participated
20,4.3,9.0,6.9,0,59.2,66.4,Fail
21,34.0,25.2,8.0,3,97.5,84.1,Pass
20,29.8,23.2,7.5,8,83.5,98.3,Not participated
21,16.3,6.9,6.2,3,74.6,48.2,Pass
20,37.3,3.9,6.7,1,114.9,29.5,Pass
21,39.6,26.0,5.7,9,93.6,94.5,Not participated
21,8.2,28.9,5.3,4,43.7,114.1,Not participated
20,15.2,0.9,8.1,2,81.9,50.5,Pass
20,37.1,21.9,6.1,8,96.1,80.8,Pass
20,28.9,27.3,5.7,3,86.6,101.3,Not participated
19,1.9,25.7,7.8,5,52.7,100.3,Fail
19,31.3,28.9,7.5,1,98.4,99.9,Not participated
19,33.1,22.8,7.5,5,105.8,79.6,Pass
21,30.0,13.3,5.9,2,100.1,62.2,Pass
20,32.0,9.4,5.9,8,107.4,65.6,Pass
21,33.0,9.6,5.9,1,104.3,46.6,Pass
19,7.5,21.7,5.7,8,57.9,106.6,Not participated
20,9.4,22.4,7.6,4,71.1,93.1,Pass
21,25.4,6.0,8.4,7,102.0,58.4,Pass
20,36.3,26.0,7.9,1,105.2,90.9,Pass
21,12.6,21.4,8.2,5,63.5,88.5,Fail
20,23.5,16.9,6.6,2,81.6,79.8,Pass
19,27.3,14.1,7.6,9,96.4,83.6,Not participated
19,18.1,16.3,6.4,4,77.7,75.1,Pass
20,28.6,4.8,7.1,7,100.2,60.5,Pass
21,36.0,6.1,6.9,9,125.0,46.2,Not participated
19,25.0,2.7,5.7,0,97.6,44.8,Pass
19,21.6,4.6,6.5,4,89.5,47.1,Pass
19,17.5,13.6,8.9,2,83.9,75.6,Pass
20,23.1,15.9,6.0,3,84.1,78.2,Pass
20,14.2,0.5,5.5,1,82.8,55.5,Pass
21,15.7,23.9,6.7,8,59.9,106.7,Fail
21,21.3,8.8,8.2,2,97.8,58.5,Pass
21,2.7,27.4,7.3,1,53.5,99.2,Not participated
20,9.2,29.0,7.7,9,63.4,117.0,Not participated
20,21.7,5.6,5.8,8,91.3,59.6,Pass
21,17.3,13.9,7.5,6,83.1,84.1,Pass
21,13.3,0.0,6.3,5,78.2,38.5,Pass
20,29.2,17.9,8.3,0,100.2,82.1,Pass
21,27.7,18.2,7.5,4,93.2,80.0,Pass
19,6.7,7.4,5.8,2,63.4,59.8,Fail
20,35.1,16.8,5.3,0,104.1,69.7,Pass
21,19.8,6.8,5.2,3,89.2,63.8,Pass
20,29.7,4.8,6.5,1,104.0,46.5,Pass
19,22.9,19.5,6.1,1,83.1,69.9,Pass
20,39.9,9.8,7.6,2,112.1,50.6,Pass
20,30.1,17.7,7.0,7,101.2,83.9,Pass
20,28.3,13.0,6.1,7,89.8,72.7,Pass
20,31.1,29.5,5.6,6,80.7,99.9,Not participated
19,5.7,4.5,5.5,5,66.3,68.7,Fail
20,8.2,13.9,8.5,8,73.8,87.0,Pass
20,28.6,20.4,6.0,3,94.1,84.2,Pass
21,19.8,11.9,7.6,0,85.4,61.8,Pass
20,30.2,29.2,8.2,7,92.2,99.2,Not participated
21,4.1,21.7,7.5,6,45.3,90.1,Fail
19,21.5,19.7,8.4,6,79.7,84.6,Pass
19,15.2,22.7,6.6,2,64.3,94.9,Not participated
19,18.3,28.6,8.8,3,78.4,100.6,Not participated
19,24.2,27.2,5.5,9,78.8,105.3,Not participated
21,20.1,21.7,5.4,8,74.5,98.5,Pass
20,21.6,22.5,7.6,5,81.0,92.1,Pass
19,19.5,4.4,8.8,4,101.2,56.2,Pass
20,16.4,3.1,8.2,2,87.7,43.6,Pass
21,30.9,17.1,5.3,8,86.7,76.7,Pass
21,0.5,0.6,6.1,4,67.9,64.4,Pass
21,23.9,14.5,8.7,4,92.6,72.4,Pass
19,22.6,6.3,6.0,3,95.6,64.4,Pass
20,28.6,10.4,8.1,3,100.6,56.5,Pass
20,24.0,23.3,8.3,0,79.8,85.8,Pass
20,33.1,28.2,7.0,6,93.1,95.1,Not participated
21,38.4,2.2,6.5,8,118.9,47.8,Not participated
19,13.7,16.0,6.8,2,72.3,82.0,Pass
21,9.1,26.5,5.9,1,62.3,102.7,Not participated
21,16.9,2.5,8.6,2,85.1,54.2,Pass
20,11.5,24.7,6.8,0,62.5,93.6,Not participated
21,24.6,10.7,8.5,5,91.2,64.1,Pass
20,36.5,9.7,5.4,6,94.8,49.6,Pass
19,5.6,29.3,9.0,1,52.7,110.2,Not participated
20,4.0,6.0,6.8,7,65.0,69.3,Not participated
19,10.2,20.8,5.2,5,62.2,92.2,Fail
20,29.0,24.6,5.2,3,83.1,87.3,Pass
21,23.7,1.2,8.0,4,93.1,45.2,Pass
21,4.1,20.1,7.6,7,51.2,95.4,Fail
19,36.8,28.5,8.2,2,105.4,88.4,Not participated
19,31.6,3.7,5.4,2,101.1,45.2,Pass
19,0.9,26.9,5.1,3,47.9,109.4,Not participated
20,26.1,17.8,7.0,0,94.2,68.7,Pass
20,30.8,18.5,6.6,8,93.0,79.2,Pass
19,15.0,18.4,6.8,7,67.7,86.7,Pass
21,2.8,9.0,9.0,7,70.2,75.0,Fail
20,3.1,28.1,8.9,9,48.8,114.8,Not participated
20,4.2,28.4,8.8,5,43.5,114.0,Not participated
20,33.6,18.8,8.1,6,104.4,69.7,Pass
19,36.4,23.5,6.4,5,100.7,77.4,Pass
19,4.9,18.4,6.6,8,61.5,94.9,Not participated
19,9.4,14.5,7.2,2,68.6,73.7,Fail
19,6.6,19.8,8.3,2,57.9,93.1,Fail
19,7.5,16.6,5.3,2,64.9,87.7,Fail
21,33.5,17.9,6.7,9,106.2,81.0,Pass
21,13.3,23.5,5.3,2,62.9,87.4,Fail
19,12.5,14.4,7.1,8,71.7,87.4,Fail
20,9.1,1.2,8.6,3,73.3,52.4,Pass
19,24.3,4.9,8.1,6,95.7,47.4,Pass
21,15.2,13.2,5.9,8,77.8,71.4,Pass
21,29.8,21.7,8.9,6,92.4,93.3,Pass
20,8.2,17.8,7.7,8,56.2,97.9,Not participated
21,31.5,19.5,5.0,2,109.1,63.1,Pass
19,24.1,14.4,6.0,3,79.3,63.6,Pass
20,4.6,18.5,6.0,7,65.4,98.8,Fail
19,16.6,9.9,5.3,5,76.0,67.4,Pass
19,34.5,14.1,8.8,4,107.6,69.3,Pass
20,36.9,22.3,6.9,3,97.9,79.4,Pass
19,18.6,26.2,8.6,7,78.1,104.8,Not participated
21,19.2,13.0,6.3,0,73.8,66.4,Pass
19,36.7,1.3,5.5,8,105.8,41.7,Not participated
20,23.5,4.9,6.9,0,103.2,53.3,Pass
20,1.3,0.6,5.5,7,58.5,60.0,Fail
20,36.5,19.6,6.9,3,106.6,77.8,Pass
19,9.9,10.0,8.7,8,68.8,75.4,Fail
20,23.1,16.3,7.1,4,89.4,73.4,Pass
20,6.6,14.8,7.5,2,71.5,86.7,Pass
19,1.4,2.4,5.6,8,58.7,65.5,Fail
21,12.5,12.1,5.2,8,59.8,75.8,Fail
19,31.2,6.6,5.4,3,110.8,57.6,Pass
20,11.1,12.6,7.4,3,76.0,66.6,Pass
